centx,centy,year,month,fews_ha,ndvi_mean,ndvi_anom,rain_mean,rain_anom,et_mean,et_anom,acled_count,acled_fatalities,p_staple_food,area,cropland_pct,pop,ruggedness_mean,pasture_pct,log_pop,log_ruggedness
65.7093431,31.04361782,2012,4,0.0,0.11669231699999999,98.51183651,2.908422685,0.5100191860000001,4.69846586,2.075454372,0,0,1.0190845929999999,54174.53381,1.417796244,1379956.0,101047.1587,16.24627876,14.13756217256711,11.523342604672973
65.7093431,31.04361782,2012,7,0.0,0.104068097,104.57116450000001,0.363717201,-0.060718565,0.254136708,-0.010890852,0,0,1.031223724,54174.53381,1.417796244,1379956.0,101047.1587,16.24627876,14.13756217256711,11.523342604672973
65.7093431,31.04361782,2012,10,0.0,0.10117164599999999,104.14273969999999,0.452095084,-0.073343188,0.628785051,0.159912851,0,0,1.194954872,54174.53381,1.417796244,1379956.0,101047.1587,16.24627876,14.13756217256711,11.523342604672973
65.7093431,31.04361782,2013,1,0.0,0.095678788,97.27897177,2.836539195,-3.3908700119999997,4.793216997,-0.099053679,0,0,1.1570920820000001,54174.53381,1.417796244,1429508.0,101047.1587,16.24627876,14.172840887091208,11.523342604672973
65.7093431,31.04361782,2013,4,0.0,0.135268786,114.1941203,2.997978101,0.599574603,3.522834291,0.899822803,0,0,1.0425121240000002,54174.53381,1.417796244,1429508.0,101047.1587,16.24627876,14.172840887091208,11.523342604672973
65.7093431,31.04361782,2013,7,0.0,0.10277078699999999,103.267584,0.719085889,0.294650123,0.40928651,0.14425895,0,0,1.108061921,54174.53381,1.417796244,1429508.0,101047.1587,16.24627876,14.172840887091208,11.523342604672973
65.7093431,31.04361782,2013,10,0.0,0.099216735,102.1304187,0.56684924,0.041410968,0.42532366299999996,-0.043548537000000005,0,0,1.119109581,54174.53381,1.417796244,1429508.0,101047.1587,16.24627876,14.172840887091208,11.523342604672973
65.7093431,31.04361782,2014,1,0.0,0.10124603800000001,102.93933170000001,5.091202453,-1.136206754,4.546533878,-0.34573679799999996,0,0,1.1431468009999999,54174.53381,1.417796244,1479059.0,101047.1587,16.24627876,14.206916632716077,11.523342604672973
65.7093431,31.04361782,2014,4,0.0,0.14083957,118.8969856,2.747301606,0.348898107,4.501565781,1.8785542919999998,0,0,1.19281486,54174.53381,1.417796244,1479059.0,101047.1587,16.24627876,14.206916632716077,11.523342604672973
65.7093431,31.04361782,2014,7,0.0,0.103733206,104.2346545,0.332346918,-0.092088848,0.25896547,-0.0060620909999999995,0,0,1.209681375,54174.53381,1.417796244,1479059.0,101047.1587,16.24627876,14.206916632716077,11.523342604672973
