Manufacturer,CPU Type,CPU Score,CPU Model,Memory Size (GB),OS Disk Type,User_Experience
HP,AMD PRO A10,3181,"AMD PRO A10-8770E R7, 10 COMPUTE CORES 4C+6G",15,HDD,2.6
HP,AMD PRO A10,3181,"AMD PRO A10-8770E R7, 10 COMPUTE CORES 4C+6G",15,HDD,2.3
HP,AMD PRO A10,3181,"AMD PRO A10-8770E R7, 10 COMPUTE CORES 4C+6G",15,HDD,1.9
HP,AMD PRO A10,3181,"AMD PRO A10-8770E R7, 10 COMPUTE CORES 4C+6G",15,HDD,0.5
HP,AMD PRO A10,3181,"AMD PRO A10-8770E R7, 10 COMPUTE CORES 4C+6G",15,HDD,2.1
HP,AMD PRO A10,3181,"AMD PRO A10-8770E R7, 10 COMPUTE CORES 4C+6G",15,HDD,4.5
HP,AMD PRO A10,3181,"AMD PRO A10-8770E R7, 10 COMPUTE CORES 4C+6G",15,HDD,2
HP,AMD PRO A10,3181,"AMD PRO A10-8770E R7, 10 COMPUTE CORES 4C+6G",15,HDD,1.1
HP,AMD PRO A10,3181,"AMD PRO A10-8770E R7, 10 COMPUTE CORES 4C+6G",15,HDD,3.7
HP,AMD PRO A10,3181,"AMD PRO A10-8770E R7, 10 COMPUTE CORES 4C+6G",15,HDD,1.1
HP,AMD PRO A10,3181,"AMD PRO A10-8770E R7, 10 COMPUTE CORES 4C+6G",15,HDD,1.4
Dell,i5,3732,Intel(R) Core(TM) i5-7300U CPU @ 2.60GHz,8,HDD,1
HP,i5,3260,Intel(R) Core(TM) i5-6300U CPU @ 2.40GHz,8,HDD,3.4
HP,i5,3260,Intel(R) Core(TM) i5-6300U CPU @ 2.40GHz,8,HDD,0.1
HP,i5,3260,Intel(R) Core(TM) i5-6300U CPU @ 2.40GHz,8,HDD,1.9
HP,i5,3260,Intel(R) Core(TM) i5-6300U CPU @ 2.40GHz,8,HDD,1.9
HP,i5,3413,Intel(R) Core(TM) i5-7200U CPU @ 2.50GHz,16,SSD,4.2
HP,i5,3413,Intel(R) Core(TM) i5-7200U CPU @ 2.50GHz,16,SSD,3.4
HP,i5,3413,Intel(R) Core(TM) i5-7200U CPU @ 2.50GHz,16,SSD,4.7
HP,i5,3413,Intel(R) Core(TM) i5-7200U CPU @ 2.50GHz,16,SSD,3.1
HP,i5,3413,Intel(R) Core(TM) i5-7200U CPU @ 2.50GHz,8,HDD,2.7
HP,i5,3413,Intel(R) Core(TM) i5-7200U CPU @ 2.50GHz,8,HDD,0.6
HP,i5,5949,Intel(R) Core(TM) i5-8250U CPU @ 1.60GHz,16,SSD,3.4
HP,i5,5949,Intel(R) Core(TM) i5-8250U CPU @ 1.60GHz,16,SSD,4.2
HP,i5,5949,Intel(R) Core(TM) i5-8250U CPU @ 1.60GHz,16,SSD,4.8
HP,i5,5949,Intel(R) Core(TM) i5-8250U CPU @ 1.60GHz,16,SSD,0.7
HP,i5,3413,Intel(R) Core(TM) i5-7200U CPU @ 2.50GHz,16,SSD,3.7
HP,i5,5988,Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz,16,SSD,3.2
HP,i5,3413,Intel(R) Core(TM) i5-7200U CPU @ 2.50GHz,16,SSD,3.2
HP,i5,5949,Intel(R) Core(TM) i5-8250U CPU @ 1.60GHz,16,SSD,4
HP,i5,5949,Intel(R) Core(TM) i5-8250U CPU @ 1.60GHz,16,SSD,2.7
HP,i5,3413,Intel(R) Core(TM) i5-7200U CPU @ 2.50GHz,16,SSD,2.9
HP,i5,5949,Intel(R) Core(TM) i5-8250U CPU @ 1.60GHz,16,SSD,4.1
Dell,i5,3732,Intel(R) Core(TM) i5-7300U CPU @ 2.60GHz,8,HDD,3.2
Dell,i5,3732,Intel(R) Core(TM) i5-7300U CPU @ 2.60GHz,8,HDD,1
Dell,i5,3732,Intel(R) Core(TM) i5-7300U CPU @ 2.60GHz,8,HDD,2.7
HP,AMD PRO A8,3204,"AMD PRO A8-8650B R7, 10 Compute Cores 4C+6G",7,HDD,0.8
HP,AMD PRO A8,3204,"AMD PRO A8-8650B R7, 10 Compute Cores 4C+6G",7,HDD,0.6
HP,AMD PRO A10,3594,"AMD PRO A10-8770 R7, 10 COMPUTE CORES 4C+6G",15,SSD,1.8
HP,AMD PRO A10,3594,"AMD PRO A10-8770 R7, 10 COMPUTE CORES 4C+6G",15,SSD,3.9
HP,AMD PRO A10,3594,"AMD PRO A10-8770 R7, 10 COMPUTE CORES 4C+6G",15,SSD,2.7
HP,AMD PRO A10,3594,"AMD PRO A10-8770 R7, 10 COMPUTE CORES 4C+6G",15,SSD,3.7
HP,AMD PRO A10,3594,"AMD PRO A10-8770 R7, 10 COMPUTE CORES 4C+6G",15,SSD,1.9
HP,AMD PRO A10,3594,"AMD PRO A10-8770 R7, 10 COMPUTE CORES 4C+6G",15,SSD,2.4
Transource,i7,9685,Intel(R) Core(TM) i7-7700K CPU @ 4.20GHz,16,HDD,2.6
Transource,i7,9685,Intel(R) Core(TM) i7-7700K CPU @ 4.20GHz,16,HDD,2.3
Transource,i3,6161,Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,16,HDD,4.2
HP,i5,3413,Intel(R) Core(TM) i5-7200U CPU @ 2.50GHz,16,HDD,3.6
HP,i5,3413,Intel(R) Core(TM) i5-7200U CPU @ 2.50GHz,16,HDD,3.8
HP,i5,3413,Intel(R) Core(TM) i5-7200U CPU @ 2.50GHz,16,HDD,2.6
HP,i5,3413,Intel(R) Core(TM) i5-7200U CPU @ 2.50GHz,16,HDD,3.3
HP,AMD PRO A10,3181,"AMD PRO A10-8770E R7, 10 COMPUTE CORES 4C+6G",7,SSD,3.9
HP,AMD PRO A8,2148,"AMD PRO A8-8600B R6, 10 Compute Cores 4C+6G",7,HDD,0.4
HP,AMD PRO A8,2148,"AMD PRO A8-8600B R6, 10 Compute Cores 4C+6G",7,HDD,1.8
HP,AMD PRO A8,2148,"AMD PRO A8-8600B R6, 10 Compute Cores 4C+6G",15,HDD,1.3
HP,i5,5949,Intel(R) Core(TM) i5-8250U CPU @ 1.60GHz,16,SSD,4.6
HP,i5,3413,Intel(R) Core(TM) i5-7200U CPU @ 2.50GHz,16,SSD,2.9
HP,i5,5949,Intel(R) Core(TM) i5-8250U CPU @ 1.60GHz,16,SSD,3.3
LENOVO,i7,6945,Intel(R) Core(TM) i7-6820HQ CPU @ 2.70GHz,32,SSD,4.8
HP,i5,3413,Intel(R) Core(TM) i5-7200U CPU @ 2.50GHz,7,HDD,3.7
HP,i5,3413,Intel(R) Core(TM) i5-7200U CPU @ 2.50GHz,8,HDD,2.5
HP,i5,3413,Intel(R) Core(TM) i5-7200U CPU @ 2.50GHz,8,HDD,1.7
HP,i5,3413,Intel(R) Core(TM) i5-7200U CPU @ 2.50GHz,8,HDD,3.6
HP,i5,3413,Intel(R) Core(TM) i5-7200U CPU @ 2.50GHz,8,HDD,4
HP,i5,3413,Intel(R) Core(TM) i5-7200U CPU @ 2.50GHz,16,SSD,4.3
HP,i5,3413,Intel(R) Core(TM) i5-7200U CPU @ 2.50GHz,8,HDD,3.2
HP,i5,3413,Intel(R) Core(TM) i5-7200U CPU @ 2.50GHz,8,SSD,3.6
HP,i5,3413,Intel(R) Core(TM) i5-7200U CPU @ 2.50GHz,8,HDD,2.1
HP,i5,3413,Intel(R) Core(TM) i5-7200U CPU @ 2.50GHz,8,HDD,3.1
HP,i5,3413,Intel(R) Core(TM) i5-7200U CPU @ 2.50GHz,16,SSD,4.4
HP,i7,10423,Intel(R) Core(TM) i7-8850H CPU @ 2.60GHz,63,SSD,4.8
HP,i5,3260,Intel(R) Core(TM) i5-6300U CPU @ 2.40GHz,8,HDD,2.8
HP,i5,3413,Intel(R) Core(TM) i5-7200U CPU @ 2.50GHz,16,SSD,2.6
GETAC,i5,3025,Intel(R) Core(TM) i5-6200U CPU @ 2.30GHz,8,HDD,3.4
HP,i5,3413,Intel(R) Core(TM) i5-7200U CPU @ 2.50GHz,8,SSD,4.2
GETAC,i5,5988,Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz,8,SSD,4.1
GETAC,i5,3413,Intel(R) Core(TM) i5-7200U CPU @ 2.50GHz,8,SSD,3.6
GETAC,i5,3413,Intel(R) Core(TM) i5-7200U CPU @ 2.50GHz,8,SSD,4.5
GETAC,i5,3413,Intel(R) Core(TM) i5-7200U CPU @ 2.50GHz,8,SSD,4.2
HP,i3,2630,Intel(R) Core(TM) i3-6100 CPU @ 3.70GHz,8,HDD,4
HP,i3,4172,Intel(R) Core(TM) i3-6100 CPU @ 3.70GHz,8,HDD,3.3
Transource,i5,6634,Intel(R) Core(TM) i5-7600 CPU @ 3.50GHz,16,HDD,3.7
HP,i3,4172,Intel(R) Core(TM) i3-6100 CPU @ 3.70GHz,8,HDD,2.7
HP,i3,4172,Intel(R) Core(TM) i3-6100 CPU @ 3.70GHz,8,HDD,1.8
HP,AMD PRO A12,3848,"AMD PRO A12-8870 R7, 12 COMPUTE CORES 4C+8G",15,SSD,1
HP,AMD PRO A12,3848,"AMD PRO A12-8870 R7, 12 COMPUTE CORES 4C+8G",15,SSD,2.5
HP,AMD PRO A12,3848,"AMD PRO A12-8870 R7, 12 COMPUTE CORES 4C+8G",15,SSD,1.8
HP,AMD PRO A12,3848,"AMD PRO A12-8870 R7, 12 COMPUTE CORES 4C+8G",15,SSD,3.9
HP,AMD PRO A12,3848,"AMD PRO A12-8870 R7, 12 COMPUTE CORES 4C+8G",15,SSD,4.4
HP,i3,4172,Intel(R) Core(TM) i3-6100 CPU @ 3.70GHz,8,HDD,3.3
HP,i3,4172,Intel(R) Core(TM) i3-6100 CPU @ 3.70GHz,8,HDD,1.9
HP,AMD PRO A12,3848,"AMD PRO A12-8870 R7, 12 COMPUTE CORES 4C+8G",15,SSD,2.8
HP,i3,4172,Intel(R) Core(TM) i3-6100 CPU @ 3.70GHz,8,HDD,2.9
HP,i3,4172,Intel(R) Core(TM) i3-6100 CPU @ 3.70GHz,8,HDD,2.2
