Iteration,neurons,layers,L2 reg lambda,learning rate,batch size,epsilon1,max epochs,SumFPFN_all,FP_all,FN_all,AUC_all,accuracy_all,precision_all,recall_all,F1_all,SumFPFN_test,FP_test,FN_test,AUC_test,accuracy_test,precision_test,recall_test,F1_test,SumFPFN_val,FP_val,FN_val,AUC_val,accuracy_val,precision_val,recall_val,F1_val11,150,1,0.0001,0.002,1024,0.0001,100,2100,579,1521,95,928,0.8908582369253534,0.8223513886124105,0.8514874349721975,347,110,237,93,921,0.8708619147032508,0.8126661127120791,0.837846309449698,362,110,252,93,918,0.8665486249230732,0.8020316702928765,0.8293807294212482
2,200,1,0.0001,0.002,1024,0.0001,100,1970,460,1510,96,933,0.9056064327668154,0.8259580444079068,0.8591290724668161,345,91,254,94,921,0.8803344332436038,0.8028575806328047,0.8347774477605967,378,103,275,94,914,0.8647647853086693,0.7862602045934779,0.8181220700432025
3,150,2,0.0001,0.002,1024,0.0001,100,1786,476,1310,97,939,0.9108884209642174,0.8474542408808564,0.8750630171230324,348,105,243,93,921,0.8727556596409056,0.8089740643176635,0.8361708367419389,377,115,262,93,914,0.8597423129136914,0.794090192304075,0.821705888268583
4,200,2,0.0001,0.002,1024,0.0001,100,1729,325,1404,97,941,0.926418290402677,0.8402526625783695,0.8759903729566099,356,89,267,94,919,0.8781930403395588,0.7936660596738739,0.8277124768380986,356,84,272,94,919,0.8811013600205286,0.791001774439296,0.8267657732553867
1,150,1,0.0001,0.002,1024,0.0001,100,1994,524,1470,96,932,0.8993299614328303,0.829027709199989,0.858926361005206,361,114,247,94,918,0.8649336955356186,0.8048482812674953,0.8306233089833704,369,104,265,94,916,0.8670905471465906,0.7933928392282756,0.8238045672007936
2,200,1,0.0001,0.002,1024,0.0001,100,1968,406,1562,96,933,0.9105867736391029,0.8213769608447586,0.8577084548985336,357,97,260,94,919,0.8738336477813653,0.7976810518065403,0.8290305763783568,376,90,286,94,914,0.8719168670559945,0.7800185124806411,0.8159866080770035
3,150,2,0.0001,0.002,1024,0.0001,100,1874,433,1441,97,936,0.9114404039920906,0.8340318927637973,0.8665727817027999,349,100,249,94,921,0.8747590973892813,0.8052820159232479,0.8344659562462371,388,110,278,94,912,0.8583783059859924,0.7831363214556673,0.8138305487801685
4,200,2,0.0001,0.002,1024,0.0001,100,1765,289,1476,97,940,0.9289678292627945,0.8331255833769864,0.8719685114969206,339,75,264,94,923,0.8908004900959772,0.7977388045188551,0.834656458794545,369,87,282,94,916,0.8756479026036643,0.783329910901829,0.8195415992053345
1,150,1,0.0001,0.002,1024,0.0001,100,1940,419,1521,96,934,0.9103690759406313,0.8255871109874309,0.8605233797277565,352,94,258,94,920,0.8767918943882516,0.7995415141818267,0.8313080634707253,377,99,278,94,914,0.8669994623525512,0.7846192009380075,0.8177105481443065
2,200,1,0.0001,0.002,1024,0.0001,100,2069,274,1795,96,929,0.921061011403497,0.7986264012564741,0.8443861483097209,355,65,290,94,919,0.8927580053534252,0.7801654792001839,0.8222696425182229,369,57,312,94,916,0.8948259508789265,0.7655718020904525,0.8113694543688243
3,150,2,0.0001,0.002,1024,0.0001,100,1856,228,1628,97,937,0.9330256439563015,0.8177761783125196,0.8622542923624902,351,66,285,94,920,0.8931721947776994,0.7836695366228807,0.8250476224522627,355,65,290,94,919,0.8929474559167956,0.7804817163781375,0.822562407831769
4,200,2,0.0001,0.002,1024,0.0001,100,2301,391,1910,95,921,0.8998038604152454,0.7837139122612309,0.8269754128170211,355,77,278,93,919,0.8851956154823538,0.7872796704559517,0.8253570935323453,375,76,299,93,915,0.8802582067185158,0.7724581392213785,0.8128420729317453
1,150,1,0.0001,0.002,1024,0.0001,100,2130,532,1598,95,927,0.8933863581564666,0.8149012711065489,0.8474352544729074,357,105,252,93,919,0.870067497403946,0.8024238459770521,0.8309027430646888,369,98,271,93,916,0.8699496806270415,0.7898412174660003,0.8223283183163156
2,200,1,0.0001,0.002,1024,0.0001,100,1990,362,1628,96,932,0.9141128814762942,0.8150662608234401,0.8544308040672861,357,85,272,94,919,0.8800565262076053,0.7905668605507723,0.8261247761193369,357,75,282,94,919,0.8860312933346641,0.7849475976098366,0.8238955531559832
3,150,2,0.0001,0.002,1024,0.0001,100,1864,468,1396,97,936,0.9087677582066012,0.8382335264541132,0.8683648706808558,356,106,250,94,919,0.8699181390301565,0.8037444972862118,0.8317208779712897,385,116,269,94,912,0.8567622702875368,0.788868175776082,0.8171741960247028
4,200,2,0.0001,0.002,1024,0.0001,100,1890,277,1613,97,936,0.9263974290217949,0.8184217209884534,0.8607021217652042,352,73,279,94,920,0.8884477971667949,0.7870916794842329,0.8262058247956717,376,73,303,93,914,0.8818441383943567,0.7699555841541944,0.8113695444222948
1,150,1,0.0001,0.002,1024,0.0001,100,2032,348,1684,96,931,0.9141020189602965,0.809239851292328,0.8502363552523255,351,78,273,93,920,0.8857317073170732,0.7907837278786486,0.8280681150910159,363,71,292,94,917,0.8868327421525519,0.7782193846520407,0.819097488452116
2,200,1,0.0001,0.002,1024,0.0001,100,2005,467,1538,96,932,0.9037016883602577,0.8227617139345365,0.856314103215785,352,98,254,94,920,0.8748282477096037,0.8019129112670826,0.8322388596117711,353,92,261,93,920,0.8777166487304006,0.7979175026804692,0.8305061998847066
3,150,2,0.0001,0.002,1024,0.0001,100,1850,356,1494,97,937,0.9194468373444448,0.829806845448506,0.8664925843405276,358,91,267,94,918,0.8765605531691097,0.7933961541408106,0.826988209103229,362,84,278,94,918,0.8793661265444104,0.7866413093230169,0.823091467475435
4,200,2,0.0001,0.002,1024,0.0001,100,2035,376,1659,96,931,0.9111350440615639,0.811401070965506,0.8508680048096424,359,91,268,93,918,0.8762660241840168,0.7926683521029649,0.8263828808874698,372,78,294,94,915,0.8799206520565692,0.7758222457002766,0.8152904881067455
1,150,1,0.0001,0.002,1024,0.0001,100,2053,426,1627,96,930,0.905640537259198,0.8138810707169843,0.8508567308575741,363,95,268,93,917,0.8730336548784623,0.7921285410368379,0.8249408186922345,368,91,277,94,916,0.8738041415851358,0.7864244029293923,0.8211803606239971
